id;name;rating;bedroom;bed;bath;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
605314;Rental unit in Bangkok ;4.45 ;0;1;1;1927968;Evan;;Sathon;13.720785;100.547241;Entire home/apt;850;1;441;12-12-2023;3.20;49;338;14;
605343;Rental unit in Bangkok ;4.58 ;0;1;1;1927968;Evan;;Sathon;13.720785;100.547241;Entire home/apt;750;1;233;05-12-2023;1.74;49;328;8;
608624;Home in Krung Thep Maha Nakhon ;4.75 ;1;1;1.5 ;2940438;Kinifrog;;Thon buri;13.71699;100.4783;Entire home/apt;1350;14;4;18-10-2023;0.34;22;210;4;
1589614;Home in Bangkok ;0;3;3;3.5 ;6364900;Somkid;;Pra Wet;13.72352;100.6536;Entire home/apt;10000;1;0;;;1;0;0;
688013;Rental unit in Bangkok ;4.69 ;1;1;1;1780407;Feb;;Bang Na;13.67926;100.61655;Entire home/apt;924;29;147;22-04-2023;1.08;6;308;1;
1621954;Hostel in Bangkok ;4.68 ;1;1;3;8626494;Paula;;Phra Nakhon;13.76052;100.50066;Private room;850;1;239;30-11-2023;1.94;7;358;3;
973830;Home in Bangkok ;4.79 ;1;1;1.5 ;5325919;วสวัตติ์;;Bangkok Yai;13.73292;100.46413;Private room;1732;1;81;20-11-2023;0.62;3;344;7;
691478;Rental unit in Bangkok ;5.0 ;1;1;1;3533863;Sarasinee;;Phaya Thai;13.78887;100.56009;Entire home/apt;571;30;4;15-12-2012;0.03;4;0;0;
976690;Rental unit in Bangkok ;4.70 ;1;1;1;5344120;Nattavut;;Phaya Thai;13.77931;100.54262;Entire home/apt;1400;15;90;15-11-2022;0.69;4;333;0;
1629978;Rental unit in Bangkok ;4.75 ;1;2;1;8663142;ISanook;;Bang Rak;13.73244;100.52204;Private room;1800;30;21;11-04-2020;0.17;53;326;0;
691526;Rental unit in Bangkok ;0;1;1;1.5 ;3533863;Sarasinee;;Phaya Thai;13.79032;100.56145;Entire home/apt;1360;1;0;;;4;0;0;
691540;Rental unit in Bangkok ;0;1;1;1;3533863;Sarasinee;;Din Daeng;13.78829;100.56171;Entire home/apt;1000;3;0;;;4;0;0;
715652;Rental unit in Bangkok ;4.33 ;0;1;1;3687435;Avinash;;Din Daeng;13.78777;100.56551;Entire home/apt;866;1;6;18-10-2015;0.04;1;0;0;
1630348;Guest suite in Bangkok ;4.44 ;1;8;0;8664261;Kriengkrai;;Sathon;13.71711;100.51524;Shared room;490;2;27;01-08-2019;0.22;7;0;0;
978969;Rental unit in Bangkok ;4.83 ;1;1;1;5358785;Danny;;Vadhana;13.73224;100.57803;Entire home/apt;1626;4;6;01-01-2023;0.05;1;293;1;
988373;Home in Bangkok ;4.88 ;1;1;1;5325919;วสวัตติ์;;Phasi Charoen;13.73122;100.46228;Entire home/apt;1795;1;109;12-12-2023;0.83;3;329;16;
